"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species","redlistCategory","redlistPopulationTrend"
"Philadelphia Vireo","PHVI","boreal_forests",6260,"Philadelphia Vireo",TRUE,TRUE,TRUE,"Philadelphia Vireo","Passeriformes","Vireonidae","Vireo","philadelphicus","Least Concern","Increasing"
"Pied-billed Grebe","PBGR","marshlands",60,"Pied-billed Grebe",TRUE,TRUE,TRUE,"Pied-billed Grebe","Podicipediformes","Podicipedidae","Podilymbus","podiceps","Least Concern","Increasing"
"Pigeon Guillemot","PIGU","coastal",290,"Pigeon Guillemot",TRUE,TRUE,TRUE,"Pigeon Guillemot","Charadriiformes","Alcidae","Cepphus","columba","Least Concern","Stable"
"Pileated Woodpecker","PIWO","eastern_forests",4050,"Pileated Woodpecker",TRUE,TRUE,TRUE,"Pileated Woodpecker","Piciformes","Picidae","Dryocopus","pileatus",NA,NA
"Pine Grosbeak","PIGR","boreal_forests",5150,"Pine Grosbeak",TRUE,TRUE,TRUE,"Pine Grosbeak","Passeriformes","Fringillidae","Pinicola","enucleator","Least Concern","Decreasing"
"Pine Siskin","PISI","western_forests",5330,"Pine Siskin",TRUE,TRUE,TRUE,"Pine Siskin","Passeriformes","Fringillidae","Spinus","pinus","Least Concern","Stable"
"Pine Warbler","PIWA","eastern_forests",6710,"Pine Warbler",TRUE,TRUE,TRUE,"Pine Warbler","Passeriformes","Parulidae","Setophaga","pinus","Least Concern","Increasing"
"Pinyon Jay","PIJA","western_forests",4920,"Pinyon Jay",TRUE,TRUE,TRUE,"Pinyon Jay","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus","Vulnerable","Decreasing"
"Piping Plover","PIPL","coastal",2770,"Piping Plover",TRUE,TRUE,TRUE,"Piping Plover","Charadriiformes","Charadriidae","Charadrius","melodus","Near Threatened","Increasing"
"Plain Chachalaca","PLCH","subtropical_forests",NA,NA,FALSE,TRUE,TRUE,"Plain Chachalaca","Galliformes","Cracidae","Ortalis","vetula","Least Concern","Stable"
"Plumbeous Vireo","PLVI","western_forests",6291,"Plumbeous Vireo",TRUE,TRUE,TRUE,"Cassin's Vireo","Passeriformes","Vireonidae","Vireo","cassinii","Least Concern","Stable"
"Pomarine Jaeger","POJA","waterbirds",360,"Pomarine Jaeger",TRUE,TRUE,TRUE,"Pomarine Jaeger","Charadriiformes","Stercorariidae","Stercorarius","pomarinus","Least Concern","Stable"
"Prairie Falcon","PRFA","aridlands",3550,"Prairie Falcon",TRUE,TRUE,TRUE,"Prairie Falcon","Falconiformes","Falconidae","Falco","mexicanus","Least Concern","Increasing"
"Prairie Warbler","PRAW","eastern_forests",6730,"Prairie Warbler",TRUE,TRUE,TRUE,"Prairie Warbler","Passeriformes","Parulidae","Setophaga","discolor","Least Concern","Decreasing"
"Prothonotary Warbler","PROW","eastern_forests",6370,"Prothonotary Warbler",TRUE,TRUE,TRUE,"Prothonotary Warbler","Passeriformes","Parulidae","Protonotaria","citrea","Least Concern","Decreasing"
"Purple Finch","PUFI","boreal_forests",5170,"Purple Finch",TRUE,TRUE,TRUE,"Purple Finch","Passeriformes","Fringillidae","Haemorhous","purpureus","Least Concern","Increasing"
"Purple Martin","PUMA","generalists",6110,"Purple Martin",TRUE,TRUE,TRUE,"Purple Martin","Passeriformes","Hirundinidae","Progne","subis","Least Concern","Decreasing"
"Purple Sandpiper","PUSA","waterbirds",2350,"Purple Sandpiper",TRUE,TRUE,TRUE,"Purple Sandpiper","Charadriiformes","Scolopacidae","Calidris","maritima","Least Concern","Decreasing"
"Pygmy Nuthatch","PYNU","western_forests",7300,"Pygmy Nuthatch",TRUE,TRUE,TRUE,"Pygmy Nuthatch","Passeriformes","Sittidae","Sitta","pygmaea","Least Concern","Increasing"
"Pyrrhuloxia","PYRR","aridlands",5940,"Pyrrhuloxia",TRUE,TRUE,TRUE,"Pyrrhuloxia","Passeriformes","Cardinalidae","Cardinalis","sinuatus","Least Concern","Decreasing"
"Razorbill","RAZO","coastal",320,"Razorbill",TRUE,TRUE,TRUE,"Razorbill","Charadriiformes","Alcidae","Alca","torda","Least Concern","Increasing"
