"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species"
"Red Knot","REKN","waterbirds",2340,"Red Knot",TRUE,TRUE,TRUE,"Red Knot","Charadriiformes","Scolopacidae","Calidris","canutus"
"Red Phalarope","REPH","waterbirds",2220,"Red Phalarope",TRUE,TRUE,TRUE,"Red Phalarope","Charadriiformes","Scolopacidae","Phalaropus","fulicarius"
"Red-bellied Woodpecker","RBWO","eastern_forests",4090,"Red-bellied Woodpecker",TRUE,TRUE,TRUE,"Red-bellied Woodpecker","Piciformes","Picidae","Melanerpes","carolinus"
"Red-breasted Merganser","RBME","waterbirds",1300,"Red-breasted Merganser",TRUE,TRUE,TRUE,"Red-breasted Merganser","Anseriformes","Anatidae","Mergus","serrator"
"Red-breasted Nuthatch","RBNU","boreal_forests",7280,"Red-breasted Nuthatch",TRUE,TRUE,TRUE,"Red-breasted Nuthatch","Passeriformes","Sittidae","Sitta","canadensis"
"Red-breasted Sapsucker","RBSA","western_forests",4030,"Red-breasted Sapsucker",TRUE,TRUE,TRUE,"Red-breasted Sapsucker","Piciformes","Picidae","Sphyrapicus","ruber"
"Red-cockaded Woodpecker","RCWO","eastern_forests",3950,"Red-cockaded Woodpecker",TRUE,TRUE,TRUE,"Red-cockaded Woodpecker","Piciformes","Picidae","Dryobates","borealis"
"Red-crowned Parrot","RCPA","subtropical_forests",3826,"Red-crowned Parrot",TRUE,TRUE,TRUE,"Red-crowned Parrot","Psittaciformes","Psittacidae","Amazona","viridigenalis"
"Reddish Egret","REEG","coastal",1980,"Reddish Egret",TRUE,TRUE,TRUE,"Reddish Egret","Pelecaniformes","Ardeidae","Egretta","rufescens"
"Red-eyed Vireo","REVI","eastern_forests",6240,"Red-eyed Vireo",TRUE,TRUE,TRUE,"Red-eyed Vireo","Passeriformes","Vireonidae","Vireo","olivaceus"
"Red-faced Cormorant","RFCO","coastal",1207,"Red-faced Cormorant",TRUE,FALSE,TRUE,"unid. west coast cormorant","Suliformes","Phalacrocoracidae","Urile","sp."
"Red-faced Warbler","RFWA","subtropical_forests",6900,"Red-faced Warbler",TRUE,TRUE,TRUE,"Red-faced Warbler","Passeriformes","Parulidae","Cardellina","rubrifrons"
"Redhead","REDH","marshlands",1460,"Redhead",TRUE,TRUE,TRUE,"Redhead","Anseriformes","Anatidae","Aythya","americana"
"Red-headed Woodpecker","RHWO","eastern_forests",4060,"Red-headed Woodpecker",TRUE,TRUE,TRUE,"Red-headed Woodpecker","Piciformes","Picidae","Melanerpes","erythrocephalus"
"Red-naped Sapsucker","RNSA","western_forests",4021,"Red-naped Sapsucker",TRUE,TRUE,TRUE,"Red-naped Sapsucker","Piciformes","Picidae","Sphyrapicus","nuchalis"
"Red-necked Grebe","RNGR","marshlands",20,"Red-necked Grebe",TRUE,TRUE,TRUE,"Red-necked Grebe","Podicipediformes","Podicipedidae","Podiceps","grisegena"
"Red-necked Phalarope","RNPH","waterbirds",2230,"Red-necked Phalarope",TRUE,TRUE,TRUE,"Red-necked Phalarope","Charadriiformes","Scolopacidae","Phalaropus","lobatus"
"Red-shouldered Hawk","RSHA","eastern_forests",3390,"Red-shouldered Hawk",TRUE,TRUE,TRUE,"Red-shouldered Hawk","Accipitriformes","Accipitridae","Buteo","lineatus"
"Red-tailed Hawk","RTHA","generalists",3370,"Red-tailed Hawk",TRUE,FALSE,TRUE,"Red-tailed Hawk (all forms)","Accipitriformes","Accipitridae","Buteo","jamaicensis"
"Red-throated Loon","RTLO","waterbirds",110,"Red-throated Loon",TRUE,TRUE,TRUE,"Red-throated Loon","Gaviiformes","Gaviidae","Gavia","stellata"
"Red-winged Blackbird","RWBL","generalists",4980,"Red-winged Blackbird",TRUE,TRUE,TRUE,"Red-winged Blackbird","Passeriformes","Icteridae","Agelaius","phoeniceus"
"Rhinoceros Auklet","RHAU","coastal",150,"Rhinoceros Auklet",TRUE,TRUE,TRUE,"Rhinoceros Auklet","Charadriiformes","Alcidae","Cerorhinca","monocerata"
"Ridgway's Rail","RIRA","marshlands",NA,NA,FALSE,TRUE,TRUE,"Ridgway's Rail","Gruiformes","Rallidae","Rallus","obsoletus"
"Ring-billed Gull","RBGU","waterbirds",540,"Ring-billed Gull",TRUE,TRUE,TRUE,"Ring-billed Gull","Charadriiformes","Laridae","Larus","delawarensis"
"Ringed Kingfisher","RIKI","waterbirds",3901,"Ringed Kingfisher",TRUE,TRUE,TRUE,"Ringed Kingfisher","Coraciiformes","Alcedinidae","Megaceryle","torquata"
"Ring-necked Duck","RNDU","waterbirds",1500,"Ring-necked Duck",TRUE,TRUE,TRUE,"Ring-necked Duck","Anseriformes","Anatidae","Aythya","collaris"
"Ring-necked Pheasant","RNEP","grasslands",NA,NA,FALSE,TRUE,TRUE,"Ring-necked Pheasant","Galliformes","Phasianidae","Phasianus","colchicus"
"Rock Pigeon","ROPI","urban_suburban",NA,NA,FALSE,TRUE,TRUE,"Rock Pigeon","Columbiformes","Columbidae","Columba","livia"
"Rock Ptarmigan","ROPT","arctic",NA,NA,FALSE,TRUE,TRUE,"Rock Ptarmigan","Galliformes","Phasianidae","Lagopus","muta"
"Rock Sandpiper","ROSA","waterbirds",2360,"Rock Sandpiper",FALSE,TRUE,TRUE,"Rock Sandpiper","Charadriiformes","Scolopacidae","Calidris","ptilocnemis"
"Rock Wren","ROWR","aridlands",7150,"Rock Wren",TRUE,TRUE,TRUE,"Rock Wren","Passeriformes","Troglodytidae","Salpinctes","obsoletus"
"Roseate Spoonbill","ROSP","coastal",1830,"Roseate Spoonbill",TRUE,TRUE,TRUE,"Roseate Spoonbill","Pelecaniformes","Threskiornithidae","Platalea","ajaja"
"Rose-breasted Grosbeak","RBGR","eastern_forests",5950,"Rose-breasted Grosbeak",TRUE,TRUE,TRUE,"Rose-breasted Grosbeak","Passeriformes","Cardinalidae","Pheucticus","ludovicianus"
"Ross's Goose","ROGO","waterbirds",1700,"Ross's Goose",TRUE,TRUE,TRUE,"Ross's Goose","Anseriformes","Anatidae","Anser","rossii"
"Rough-legged Hawk","RLHA","arctic",3470,"Rough-legged Hawk",TRUE,TRUE,TRUE,"Rough-legged Hawk","Accipitriformes","Accipitridae","Buteo","lagopus"
"Royal Tern","ROYT","coastal",650,"Royal Tern",TRUE,TRUE,TRUE,"Royal Tern","Charadriiformes","Laridae","Thalasseus","maximus"
"Ruby-crowned Kinglet","RCKI","western_forests",7490,"Ruby-crowned Kinglet",TRUE,TRUE,TRUE,"Ruby-crowned Kinglet","Passeriformes","Regulidae","Corthylio","calendula"
"Ruby-throated Hummingbird","RTHU","eastern_forests",4280,"Ruby-throated Hummingbird",TRUE,TRUE,TRUE,"Ruby-throated Hummingbird","Apodiformes","Trochilidae","Archilochus","colubris"
"Ruddy Duck","RUDU","marshlands",1670,"Ruddy Duck",TRUE,TRUE,TRUE,"Ruddy Duck","Anseriformes","Anatidae","Oxyura","jamaicensis"
"Ruddy Turnstone","RUTU","waterbirds",2830,"Ruddy Turnstone",TRUE,TRUE,TRUE,"Ruddy Turnstone","Charadriiformes","Scolopacidae","Arenaria","interpres"
"Ruffed Grouse","RUGR","boreal_forests",NA,NA,FALSE,TRUE,TRUE,"Ruffed Grouse","Galliformes","Phasianidae","Bonasa","umbellus"
"Rufous Hummingbird","RUHU","western_forests",4330,"Rufous Hummingbird",TRUE,TRUE,TRUE,"Rufous Hummingbird","Apodiformes","Trochilidae","Selasphorus","rufus"
"Rufous-crowned Sparrow","RCSP","aridlands",5800,"Rufous-crowned Sparrow",TRUE,TRUE,TRUE,"Rufous-crowned Sparrow","Passeriformes","Passerellidae","Aimophila","ruficeps"
"Rufous-winged Sparrow","RWSP","aridlands",5790,"Rufous-winged Sparrow",TRUE,TRUE,TRUE,"Rufous-winged Sparrow","Passeriformes","Passerellidae","Peucaea","carpalis"
"Rusty Blackbird","RUBL","boreal_forests",5090,"Rusty Blackbird",TRUE,TRUE,TRUE,"Rusty Blackbird","Passeriformes","Icteridae","Euphagus","carolinus"
"Sabine's Gull","SAGU","coastal",620,"Sabine's Gull",TRUE,TRUE,TRUE,"Sabine's Gull","Charadriiformes","Laridae","Xema","sabini"
"Sage Thrasher","SATH","aridlands",7020,"Sage Thrasher",TRUE,TRUE,TRUE,"Sage Thrasher","Passeriformes","Mimidae","Oreoscoptes","montanus"
"Sagebrush Sparrow","SABS","aridlands",NA,NA,FALSE,TRUE,TRUE,"Sagebrush Sparrow","Passeriformes","Passerellidae","Artemisiospiza","nevadensis"
"Saltmarsh Sparrow","SALS","marshlands",5490,"Saltmarsh Sparrow",TRUE,TRUE,TRUE,"Saltmarsh Sparrow","Passeriformes","Passerellidae","Ammospiza","caudacuta"
"Sanderling","SAND","waterbirds",2480,"Sanderling",TRUE,TRUE,TRUE,"Sanderling","Charadriiformes","Scolopacidae","Calidris","alba"
"Sandhill Crane","SACR","marshlands",2060,"Sandhill Crane",TRUE,TRUE,TRUE,"Sandhill Crane","Gruiformes","Gruidae","Antigone","canadensis"
"Sandwich Tern","SATE","coastal",670,"Sandwich Tern",TRUE,TRUE,TRUE,"Sandwich Tern","Charadriiformes","Laridae","Thalasseus","sandvicensis"
"Savannah Sparrow","SAVS","grasslands",5420,"Savannah Sparrow",TRUE,TRUE,TRUE,"Savannah Sparrow","Passeriformes","Passerellidae","Passerculus","sandwichensis"
"Say's Phoebe","SAPH","generalists",4570,"Say's Phoebe",TRUE,TRUE,TRUE,"Say's Phoebe","Passeriformes","Tyrannidae","Sayornis","saya"
"Scaled Quail","SCQU","aridlands",NA,NA,FALSE,TRUE,TRUE,"Scaled Quail","Galliformes","Odontophoridae","Callipepla","squamata"
"Scarlet Tanager","SCTA","eastern_forests",6080,"Scarlet Tanager",TRUE,TRUE,TRUE,"Scarlet Tanager","Passeriformes","Cardinalidae","Piranga","olivacea"
"Scissor-tailed Flycatcher","STFL","grasslands",4430,"Scissor-tailed Flycatcher",TRUE,TRUE,TRUE,"Scissor-tailed Flycatcher","Passeriformes","Tyrannidae","Tyrannus","forficatus"
"Scott's Oriole","SCOR","aridlands",5040,"Scott's Oriole",TRUE,TRUE,TRUE,"Scott's Oriole","Passeriformes","Icteridae","Icterus","parisorum"
"Seaside Sparrow","SESP","coastal",5500,"Seaside Sparrow",TRUE,TRUE,TRUE,"Seaside Sparrow","Passeriformes","Passerellidae","Ammospiza","maritima"
"Sedge Wren","SEWR","grasslands",7240,"Sedge Wren",TRUE,TRUE,TRUE,"Sedge Wren","Passeriformes","Troglodytidae","Cistothorus","stellaris"
"Semipalmated Plover","SEPL","waterbirds",2740,"Semipalmated Plover",TRUE,TRUE,TRUE,"Semipalmated Plover","Charadriiformes","Charadriidae","Charadrius","semipalmatus"
"Semipalmated Sandpiper","SESA","waterbirds",2460,"Semipalmated Sandpiper",TRUE,TRUE,TRUE,"Semipalmated Sandpiper","Charadriiformes","Scolopacidae","Calidris","pusilla"
"Sharp-shinned Hawk","SSHA","western_forests",3320,"Sharp-shinned Hawk",TRUE,TRUE,TRUE,"Sharp-shinned Hawk","Accipitriformes","Accipitridae","Accipiter","striatus"
"Sharp-tailed Grouse","STGR","grasslands",NA,NA,FALSE,TRUE,TRUE,"Sharp-tailed Grouse","Galliformes","Phasianidae","Tympanuchus","phasianellus"
"Short-billed Dowitcher","SBDO","waterbirds",2310,"Short-billed Dowitcher",TRUE,TRUE,TRUE,"Short-billed Dowitcher","Charadriiformes","Scolopacidae","Limnodromus","griseus"
"Short-eared Owl","SEOW","grasslands",3670,"Short-eared Owl",TRUE,TRUE,TRUE,"Short-eared Owl","Strigiformes","Strigidae","Asio","flammeus"
"Short-tailed Hawk","STHA","subtropical_forests",3440,"Short-tailed Hawk",TRUE,TRUE,TRUE,"Short-tailed Hawk","Accipitriformes","Accipitridae","Buteo","brachyurus"
"Smith's Longspur","SMLO","arctic",5370,"Smith's Longspur",TRUE,TRUE,TRUE,"Smith's Longspur","Passeriformes","Calcariidae","Calcarius","pictus"
"Snail Kite","SNKI","marshlands",3300,"Snail Kite",TRUE,TRUE,TRUE,"Snail Kite","Accipitriformes","Accipitridae","Rostrhamus","sociabilis"
"Snow Bunting","SNBU","arctic",5340,"Snow Bunting",TRUE,TRUE,TRUE,"Snow Bunting","Passeriformes","Calcariidae","Plectrophenax","nivalis"
"Snow Goose","SNGO","waterbirds",1690,NA,TRUE,FALSE,TRUE,"Snow Goose (all forms)","Anseriformes","Anatidae","Anser","caerulescens"
"Snowy Egret","SNEG","marshlands",1970,"Snowy Egret",TRUE,TRUE,TRUE,"Snowy Egret","Pelecaniformes","Ardeidae","Egretta","thula"
"Snowy Owl","SNOW","arctic",3760,"Snowy Owl",TRUE,TRUE,TRUE,"Snowy Owl","Strigiformes","Strigidae","Bubo","scandiacus"
"Snowy Plover","SNPL","coastal",2780,"Snowy Plover",TRUE,TRUE,TRUE,"Snowy Plover","Charadriiformes","Charadriidae","Anarhynchus","nivosus"
"Solitary Sandpiper","SOSA","waterbirds",2560,"Solitary Sandpiper",TRUE,TRUE,TRUE,"Solitary Sandpiper","Charadriiformes","Scolopacidae","Tringa","solitaria"
"Song Sparrow","SOSP","generalists",5810,"Song Sparrow",TRUE,TRUE,TRUE,"Song Sparrow","Passeriformes","Passerellidae","Melospiza","melodia"
"Sora","SORA","marshlands",2140,"Sora",TRUE,TRUE,TRUE,"Sora","Gruiformes","Rallidae","Porzana","carolina"
"Spectacled Eider","SPEI","coastal",1580,"Spectacled Eider",TRUE,TRUE,TRUE,"Spectacled Eider","Anseriformes","Anatidae","Somateria","fischeri"
"Spot-breasted Oriole","SBOR","urban_suburban",NA,NA,FALSE,TRUE,TRUE,"Spot-breasted Oriole","Passeriformes","Icteridae","Icterus","pectoralis"
"Spotted Dove","SPDO","urban_suburban",3151,"Spotted Dove",TRUE,TRUE,TRUE,"Spotted Dove","Columbiformes","Columbidae","Streptopelia","chinensis"
"Spotted Owl","SPOW","western_forests",3690,"Spotted Owl",TRUE,TRUE,TRUE,"Spotted Owl","Strigiformes","Strigidae","Strix","occidentalis"
"Spotted Sandpiper","SPSA","waterbirds",2630,"Spotted Sandpiper",TRUE,TRUE,TRUE,"Spotted Sandpiper","Charadriiformes","Scolopacidae","Actitis","macularius"
"Spotted Towhee","SPTO","western_forests",5880,"Spotted Towhee",TRUE,TRUE,TRUE,"Spotted Towhee","Passeriformes","Passerellidae","Pipilo","maculatus"
"Sprague's Pipit","SPPI","grasslands",7000,"Sprague's Pipit",TRUE,TRUE,TRUE,"Sprague's Pipit","Passeriformes","Motacillidae","Anthus","spragueii"
"Spruce Grouse","SPGR","boreal_forests",NA,NA,FALSE,TRUE,TRUE,"Spruce Grouse","Galliformes","Phasianidae","Canachites","canadensis"
"Steller's Eider","STEI","coastal",1570,"Steller's Eider",TRUE,TRUE,TRUE,"Steller's Eider","Anseriformes","Anatidae","Polysticta","stelleri"
"Steller's Jay","STJA","western_forests",4780,"Steller's Jay",TRUE,TRUE,TRUE,"Steller's Jay","Passeriformes","Corvidae","Cyanocitta","stelleri"
"Stilt Sandpiper","STSA","waterbirds",2330,"Stilt Sandpiper",TRUE,TRUE,TRUE,"Stilt Sandpiper","Charadriiformes","Scolopacidae","Calidris","himantopus"
"Sulphur-bellied Flycatcher","SBFL","subtropical_forests",4510,"Sulphur-bellied Flycatcher",TRUE,TRUE,TRUE,"Sulphur-bellied Flycatcher","Passeriformes","Tyrannidae","Myiodynastes","luteiventris"
"Summer Tanager","SUTA","eastern_forests",6100,"Summer Tanager",TRUE,TRUE,TRUE,"Summer Tanager","Passeriformes","Cardinalidae","Piranga","rubra"
"Surf Scoter","SUSC","waterbirds",1660,"Surf Scoter",TRUE,TRUE,TRUE,"Surf Scoter","Anseriformes","Anatidae","Melanitta","perspicillata"
"Surfbird","SURF","waterbirds",2820,"Surfbird",TRUE,TRUE,TRUE,"Surfbird","Charadriiformes","Scolopacidae","Calidris","virgata"
"Swainson's Hawk","SWHA","grasslands",3420,"Swainson's Hawk",TRUE,TRUE,TRUE,"Swainson's Hawk","Accipitriformes","Accipitridae","Buteo","swainsoni"
"Swainson's Thrush","SWTH","boreal_forests",7580,"Swainson's Thrush",TRUE,TRUE,TRUE,"Swainson's Thrush","Passeriformes","Turdidae","Catharus","ustulatus"
"Swainson's Warbler","SWWA","eastern_forests",6380,"Swainson's Warbler",TRUE,TRUE,TRUE,"Swainson's Warbler","Passeriformes","Parulidae","Limnothlypis","swainsonii"
"Swallow-tailed Kite","STKI","subtropical_forests",3270,"Swallow-tailed Kite",TRUE,TRUE,TRUE,"Swallow-tailed Kite","Accipitriformes","Accipitridae","Elanoides","forficatus"
"Swamp Sparrow","SWSP","marshlands",5840,"Swamp Sparrow",TRUE,TRUE,TRUE,"Swamp Sparrow","Passeriformes","Passerellidae","Melospiza","georgiana"
"Tennessee Warbler","TEWA","boreal_forests",6470,"Tennessee Warbler",TRUE,TRUE,TRUE,"Tennessee Warbler","Passeriformes","Parulidae","Leiothlypis","peregrina"
"Thick-billed Kingbird","TBKI","subtropical_forests",4451,"Thick-billed Kingbird",TRUE,TRUE,TRUE,"Thick-billed Kingbird","Passeriformes","Tyrannidae","Tyrannus","crassirostris"
"Thick-billed Murre","TBMU","coastal",310,"Thick-billed Murre",TRUE,TRUE,TRUE,"Thick-billed Murre","Charadriiformes","Alcidae","Uria","lomvia"
"Townsend's Solitaire","TOSO","western_forests",7540,"Townsend's Solitaire",TRUE,TRUE,TRUE,"Townsend's Solitaire","Passeriformes","Turdidae","Myadestes","townsendi"
"Townsend's Warbler","TOWA","western_forests",6680,"Townsend's Warbler",TRUE,TRUE,TRUE,"Townsend's Warbler","Passeriformes","Parulidae","Setophaga","townsendi"
"Tree Swallow","TRES","generalists",6140,"Tree Swallow",TRUE,TRUE,TRUE,"Tree Swallow","Passeriformes","Hirundinidae","Tachycineta","bicolor"
"Tricolored Blackbird","TRBL","marshlands",5000,"Tricolored Blackbird",TRUE,TRUE,TRUE,"Tricolored Blackbird","Passeriformes","Icteridae","Agelaius","tricolor"
"Tricolored Heron","TRHE","marshlands",1990,"Tricolored Heron",TRUE,TRUE,TRUE,"Tricolored Heron","Pelecaniformes","Ardeidae","Egretta","tricolor"
"Tropical Kingbird","TRKI","aridlands",4460,"Tropical Kingbird",TRUE,TRUE,TRUE,"Tropical Kingbird","Passeriformes","Tyrannidae","Tyrannus","melancholicus"
"Tropical Parula","TRPA","subtropical_forests",6490,"Tropical Parula",TRUE,TRUE,TRUE,"Tropical Parula","Passeriformes","Parulidae","Setophaga","pitiayumi"
"Trumpeter Swan","TRUS","waterbirds",1810,"Trumpeter Swan",TRUE,TRUE,TRUE,"Trumpeter Swan","Anseriformes","Anatidae","Cygnus","buccinator"
"Tufted Titmouse","TUTI","eastern_forests",7310,"Tufted Titmouse",TRUE,TRUE,TRUE,"Tufted Titmouse","Passeriformes","Paridae","Baeolophus","bicolor"
"Tundra Swan","TUSW","waterbirds",NA,NA,FALSE,TRUE,TRUE,"Tundra Swan","Anseriformes","Anatidae","Cygnus","columbianus"
"Turkey Vulture","TUVU","generalists",3250,"Turkey Vulture",TRUE,TRUE,TRUE,"Turkey Vulture","Cathartiformes","Cathartidae","Cathartes","aura"
"Upland Sandpiper","UPSA","grasslands",2610,"Upland Sandpiper",TRUE,TRUE,TRUE,"Upland Sandpiper","Charadriiformes","Scolopacidae","Bartramia","longicauda"
"Varied Bunting","VABU","aridlands",6000,"Varied Bunting",TRUE,TRUE,TRUE,"Varied Bunting","Passeriformes","Cardinalidae","Passerina","versicolor"
"Varied Thrush","VATH","western_forests",7630,"Varied Thrush",TRUE,TRUE,TRUE,"Varied Thrush","Passeriformes","Turdidae","Ixoreus","naevius"
"Vaux's Swift","VASW","western_forests",4240,"Vaux's Swift",TRUE,TRUE,TRUE,"Vaux's Swift","Apodiformes","Apodidae","Chaetura","vauxi"
"Veery","VEER","eastern_forests",7560,"Veery",TRUE,TRUE,TRUE,"Veery","Passeriformes","Turdidae","Catharus","fuscescens"
"Verdin","VERD","aridlands",7460,"Verdin",TRUE,TRUE,TRUE,"Verdin","Passeriformes","Remizidae","Auriparus","flaviceps"
"Vermilion Flycatcher","VEFL","aridlands",4710,"Vermilion Flycatcher",TRUE,TRUE,TRUE,"Vermilion Flycatcher","Passeriformes","Tyrannidae","Pyrocephalus","rubinus"
"Vesper Sparrow","VESP","grasslands",5400,"Vesper Sparrow",TRUE,TRUE,TRUE,"Vesper Sparrow","Passeriformes","Passerellidae","Pooecetes","gramineus"
"Violet-green Swallow","VGSW","western_forests",6150,"Violet-green Swallow",TRUE,TRUE,TRUE,"Violet-green Swallow","Passeriformes","Hirundinidae","Tachycineta","thalassina"
"Virginia Rail","VIRA","marshlands",2120,"Virginia Rail",TRUE,TRUE,TRUE,"Virginia Rail","Gruiformes","Rallidae","Rallus","limicola"
"Virginia's Warbler","VIWA","western_forests",6440,"Virginia's Warbler",TRUE,TRUE,TRUE,"Virginia's Warbler","Passeriformes","Parulidae","Leiothlypis","virginiae"
"Wandering Tattler","WATA","waterbirds",2590,"Wandering Tattler",TRUE,TRUE,TRUE,"Wandering Tattler","Charadriiformes","Scolopacidae","Tringa","incana"
"Warbling Vireo","WAVI","generalists",6270,"Warbling Vireo",TRUE,TRUE,TRUE,"Warbling Vireo","Passeriformes","Vireonidae","Vireo","gilvus"
"Western Bluebird","WEBL","western_forests",7670,"Western Bluebird",TRUE,TRUE,TRUE,"Western Bluebird","Passeriformes","Turdidae","Sialia","mexicana"
"Western Grebe","WEGR","marshlands",10,"Western Grebe",TRUE,TRUE,TRUE,"Western Grebe","Podicipediformes","Podicipedidae","Aechmophorus","occidentalis"
"Western Gull","WEGU","coastal",490,"Western Gull",TRUE,TRUE,TRUE,"Western Gull","Charadriiformes","Laridae","Larus","occidentalis"
"Western Kingbird","WEKI","grasslands",4470,"Western Kingbird",TRUE,TRUE,TRUE,"Western Kingbird","Passeriformes","Tyrannidae","Tyrannus","verticalis"
"Western Meadowlark","WEME","grasslands",5011,"Western Meadowlark",TRUE,TRUE,TRUE,"Western Meadowlark","Passeriformes","Icteridae","Sturnella","neglecta"
"Western Sandpiper","WESA","waterbirds",2470,"Western Sandpiper",TRUE,TRUE,TRUE,"Western Sandpiper","Charadriiformes","Scolopacidae","Calidris","mauri"
"Western Screech-Owl","WESO","western_forests",3732,"Western Screech-Owl",TRUE,TRUE,TRUE,"Western Screech-Owl","Strigiformes","Strigidae","Megascops","kennicottii"
"Western Tanager","WETA","western_forests",6070,"Western Tanager",TRUE,TRUE,TRUE,"Western Tanager","Passeriformes","Cardinalidae","Piranga","ludoviciana"
"Western Wood-Pewee","WEWP","western_forests",4620,"Western Wood-Pewee",TRUE,TRUE,TRUE,"Western Wood-Pewee","Passeriformes","Tyrannidae","Contopus","sordidulus"
"Whimbrel","WHIM","waterbirds",2650,"Whimbrel",TRUE,TRUE,TRUE,"Whimbrel","Charadriiformes","Scolopacidae","Numenius","phaeopus"
"Whiskered Screech-Owl","WHSO","subtropical_forests",3731,"Whiskered Screech-Owl",TRUE,TRUE,TRUE,"Whiskered Screech-Owl","Strigiformes","Strigidae","Megascops","trichopsis"
"White Ibis","WHIB","marshlands",1840,"White Ibis",TRUE,TRUE,TRUE,"White Ibis","Pelecaniformes","Threskiornithidae","Eudocimus","albus"
"White-breasted Nuthatch","WBNU","eastern_forests",7270,"White-breasted Nuthatch",TRUE,TRUE,TRUE,"White-breasted Nuthatch","Passeriformes","Sittidae","Sitta","carolinensis"
"White-crowned Pigeon","WCPI","coastal",3140,"White-crowned Pigeon",TRUE,TRUE,TRUE,"White-crowned Pigeon","Columbiformes","Columbidae","Patagioenas","leucocephala"
"White-crowned Sparrow","WCSP","generalists",5540,"White-crowned Sparrow",TRUE,TRUE,TRUE,"White-crowned Sparrow","Passeriformes","Passerellidae","Zonotrichia","leucophrys"
"White-eyed Vireo","WEVI","eastern_forests",6310,"White-eyed Vireo",TRUE,TRUE,TRUE,"White-eyed Vireo","Passeriformes","Vireonidae","Vireo","griseus"
"White-faced Ibis","WFIB","marshlands",1870,"White-faced Ibis",TRUE,TRUE,TRUE,"White-faced Ibis","Pelecaniformes","Threskiornithidae","Plegadis","chihi"
"White-headed Woodpecker","WHWO","western_forests",3990,"White-headed Woodpecker",TRUE,TRUE,TRUE,"White-headed Woodpecker","Piciformes","Picidae","Dryobates","albolarvatus"
"White-rumped Sandpiper","WRSA","waterbirds",2400,"White-rumped Sandpiper",TRUE,TRUE,TRUE,"White-rumped Sandpiper","Charadriiformes","Scolopacidae","Calidris","fuscicollis"
"White-tailed Hawk","WTHA","grasslands",3410,"White-tailed Hawk",TRUE,TRUE,TRUE,"White-tailed Hawk","Accipitriformes","Accipitridae","Geranoaetus","albicaudatus"
"White-tailed Kite","WTKI","aridlands",3280,"White-tailed Kite",TRUE,TRUE,TRUE,"White-tailed Kite","Accipitriformes","Accipitridae","Elanus","leucurus"
"White-throated Sparrow","WTSP","boreal_forests",5580,"White-throated Sparrow",TRUE,TRUE,TRUE,"White-throated Sparrow","Passeriformes","Passerellidae","Zonotrichia","albicollis"
"White-throated Swift","WTSW","aridlands",4250,"White-throated Swift",TRUE,TRUE,TRUE,"White-throated Swift","Apodiformes","Apodidae","Aeronautes","saxatalis"
"White-tipped Dove","WTDO","subtropical_forests",3180,"White-tipped Dove",TRUE,TRUE,TRUE,"White-tipped Dove","Columbiformes","Columbidae","Leptotila","verreauxi"
"White-winged Crossbill","WWCR","boreal_forests",5220,"White-winged Crossbill",TRUE,TRUE,TRUE,"White-winged Crossbill","Passeriformes","Fringillidae","Loxia","leucoptera"
"White-winged Dove","WWDO","aridlands",3190,"White-winged Dove",TRUE,TRUE,TRUE,"White-winged Dove","Columbiformes","Columbidae","Zenaida","asiatica"
"White-winged Scoter","WWSC","waterbirds",1650,"White-winged Scoter",TRUE,TRUE,TRUE,"White-winged Scoter","Anseriformes","Anatidae","Melanitta","deglandi"
"Whooping Crane","WHCR","waterbirds",2040,"Whooping Crane",TRUE,TRUE,TRUE,"Whooping Crane","Gruiformes","Gruidae","Grus","americana"
"Wild Turkey","WITU","generalists",NA,NA,FALSE,TRUE,TRUE,"Wild Turkey","Galliformes","Phasianidae","Meleagris","gallopavo"
"Willet","WILL","waterbirds",2580,"Willet",TRUE,TRUE,TRUE,"Willet","Charadriiformes","Scolopacidae","Tringa","semipalmata"
"Williamson's Sapsucker","WISA","western_forests",4040,"Williamson's Sapsucker",TRUE,TRUE,TRUE,"Williamson's Sapsucker","Piciformes","Picidae","Sphyrapicus","thyroideus"
"Willow Flycatcher","WIFL","western_forests",4660,"Willow Flycatcher",TRUE,TRUE,TRUE,"Willow Flycatcher","Passeriformes","Tyrannidae","Empidonax","traillii"
"Willow Ptarmigan","WIPT","arctic",NA,NA,FALSE,TRUE,TRUE,"Willow Ptarmigan","Galliformes","Phasianidae","Lagopus","lagopus"
"Wilson's Phalarope","WIPH","marshlands",2240,"Wilson's Phalarope",TRUE,TRUE,TRUE,"Wilson's Phalarope","Charadriiformes","Scolopacidae","Phalaropus","tricolor"
"Wilson's Plover","WIPL","coastal",2800,"Wilson's Plover",TRUE,TRUE,TRUE,"Wilson's Plover","Charadriiformes","Charadriidae","Anarhynchus","wilsonia"
"Wilson's Snipe","WISN","marshlands",2300,"Wilson's Snipe",TRUE,TRUE,TRUE,"Wilson's Snipe","Charadriiformes","Scolopacidae","Gallinago","delicata"
"Wilson's Warbler","WIWA","western_forests",6850,"Wilson's Warbler",TRUE,TRUE,TRUE,"Wilson's Warbler","Passeriformes","Parulidae","Cardellina","pusilla"
