"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species"
"Double-crested Cormorant","DCCO","waterbirds",1200,"Double-crested Cormorant",TRUE,TRUE,TRUE,"Double-crested Cormorant","Suliformes","Phalacrocoracidae","Nannopterum","auritum"
"Dovekie","DOVE","coastal",340,"Dovekie",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
"Downy Woodpecker","DOWO","generalists",3940,"Downy Woodpecker",TRUE,TRUE,TRUE,"Downy Woodpecker","Piciformes","Picidae","Dryobates","pubescens"
"Dunlin","DUNL","waterbirds",2430,"Dunlin",TRUE,TRUE,TRUE,"Dunlin","Charadriiformes","Scolopacidae","Calidris","alpina"
"Dusky Flycatcher","DUFL","western_forests",4690,"Dusky Flycatcher",TRUE,TRUE,TRUE,"Dusky Flycatcher","Passeriformes","Tyrannidae","Empidonax","oberholseri"
"Dusky Grouse","DUGR","western_forests",NA,NA,FALSE,TRUE,TRUE,"Dusky Grouse","Galliformes","Phasianidae","Dendragapus","obscurus"
"Dusky-capped Flycatcher","DCFL","western_forests",4550,"Dusky-capped Flycatcher",TRUE,TRUE,TRUE,"Dusky-capped Flycatcher","Passeriformes","Tyrannidae","Myiarchus","tuberculifer"
"Eared Grebe","EAGR","marshlands",40,"Eared Grebe",TRUE,TRUE,TRUE,"Eared Grebe","Podicipediformes","Podicipedidae","Podiceps","nigricollis"
"Eastern Bluebird","EABL","eastern_forests",7660,"Eastern Bluebird",TRUE,TRUE,TRUE,"Eastern Bluebird","Passeriformes","Turdidae","Sialia","sialis"
"Eastern Kingbird","EAKI","grasslands",4440,"Eastern Kingbird",TRUE,TRUE,TRUE,"Eastern Kingbird","Passeriformes","Tyrannidae","Tyrannus","tyrannus"
"Eastern Meadowlark","EAME","grasslands",5010,"Eastern Meadowlark",TRUE,TRUE,TRUE,"Eastern Meadowlark","Passeriformes","Icteridae","Sturnella","magna"
"Eastern Phoebe","EAPH","eastern_forests",4560,"Eastern Phoebe",TRUE,TRUE,TRUE,"Eastern Phoebe","Passeriformes","Tyrannidae","Sayornis","phoebe"
"Eastern Screech-Owl","EASO","eastern_forests",3730,"Eastern Screech-Owl",TRUE,TRUE,TRUE,"Eastern Screech-Owl","Strigiformes","Strigidae","Megascops","asio"
"Eastern Towhee","EATO","eastern_forests",5870,"Eastern Towhee",TRUE,TRUE,TRUE,"Eastern Towhee","Passeriformes","Passerellidae","Pipilo","erythrophthalmus"
"Eastern Whip-poor-will","EWPW","eastern_forests",4170,"Eastern Whip-poor-will",FALSE,TRUE,TRUE,"Eastern Whip-poor-will","Caprimulgiformes","Caprimulgidae","Antrostomus","vociferus"
"Eastern Wood-Pewee","EAWP","eastern_forests",4610,"Eastern Wood-Pewee",TRUE,TRUE,TRUE,"Eastern Wood-Pewee","Passeriformes","Tyrannidae","Contopus","virens"
"Emperor Goose","EMGO","waterbirds",1760,"Emperor Goose",TRUE,TRUE,TRUE,"Emperor Goose","Anseriformes","Anatidae","Anser","canagicus"
"Eurasian Collared-Dove","EUCD","urban_suburban",NA,NA,FALSE,TRUE,TRUE,"Eurasian Collared-Dove","Columbiformes","Columbidae","Streptopelia","decaocto"
"Eurasian Tree Sparrow","ETSP","urban_suburban",6883,"Eurasian Tree Sparrow",TRUE,TRUE,TRUE,"Eurasian Tree Sparrow","Passeriformes","Passeridae","Passer","montanus"
"Eurasian Wigeon","EUWI","marshlands",1360,"Eurasian Wigeon",TRUE,TRUE,TRUE,"Eurasian Wigeon","Anseriformes","Anatidae","Mareca","penelope"
