"species","species_code","model","mean","q2.5","q5","q95","q97.5","excludes_zero_90","excludes_zero_95","ci_conclusion_changes"
"Northern Parula","NOPA","anthro",-2.69060251425,-3.0047716225,-2.960334145,-2.420941925,-2.3614982175,TRUE,TRUE,FALSE
"Northern Pintail","NOPI","anthro",0.313460390124557,-0.35585359875,-0.2453588515,0.856999718,0.95830275475,FALSE,FALSE,FALSE
"Northern Pygmy-Owl","NOPO","anthro",-0.85336120285769,-1.9868160925,-1.798228355,0.0636490955499992,0.23477574625,FALSE,FALSE,FALSE
"Northern Rough-winged Swallow","NRWS","anthro",0.8191718747625,0.53324054175,0.5781066225,1.05579018,1.10619429,TRUE,TRUE,FALSE
"Northern Saw-whet Owl","NSWO","anthro",-0.327892440522973,-2.12666485,-1.833708875,1.17326851,1.4549543675,FALSE,FALSE,FALSE
"Northern Shoveler","NSHO","anthro",0.360611299380965,-0.272647229,-0.173417099,0.904448597,1.0021445775,FALSE,FALSE,FALSE
"Northern Waterthrush","NOWA","anthro",-1.72662479785903,-2.6428218975,-2.49870854,-0.947988624500001,-0.7964257025,TRUE,TRUE,FALSE
"Northwestern Crow","NOCR","anthro",0.108098803762921,-0.068690377625,-0.04059946515,0.2599529045,0.288052361,FALSE,FALSE,FALSE
"Nuttall's Woodpecker","NUWO","anthro",-0.177974474650284,-0.93101644375,-0.798166887,0.472523247,0.5850100285,FALSE,FALSE,FALSE
"Oak Titmouse","OATI","anthro",-1.22506877287057,-2.2715749575,-2.08008365,-0.335776982,-0.173271576750001,TRUE,TRUE,FALSE
"Olive Sparrow","OLSP","anthro",-0.483205346520813,-1.7419912575,-1.55592173,0.588089718999999,0.8204977925,FALSE,FALSE,FALSE
"Olive Warbler","OLWA","anthro",0.0280842270601636,-1.890307515,-1.54461114,1.604414845,1.91949973,FALSE,FALSE,FALSE
"Olive-sided Flycatcher","OSFL","anthro",-2.01294670518625,-2.735916965,-2.6134992,-1.398447295,-1.2769919275,TRUE,TRUE,FALSE
"Orange-crowned Warbler","OCWA","anthro",-0.516997887109538,-1.261725475,-1.141239295,0.123090141,0.2303651185,FALSE,FALSE,FALSE
"Orchard Oriole","OROR","anthro",-0.108142018321031,-0.3506506915,-0.309959939,0.0937808520499999,0.13146131725,FALSE,FALSE,FALSE
"Osprey","OSPR","anthro",0.256069084535644,-0.194588677,-0.123502118,0.643100714999999,0.7191234935,FALSE,FALSE,FALSE
"Ovenbird","OVEN","anthro",-5.0803941865125,-5.43052767,-5.373432035,-4.79144446,-4.74377461,TRUE,TRUE,FALSE
"Pacific Wren","PAWR","anthro",-3.0872236951375,-4.123466645,-3.95784688,-2.195154035,-2.0182678675,TRUE,TRUE,FALSE
"Pacific-slope Flycatcher","PSFL","anthro",-2.10855819833875,-2.92164721,-2.796383635,-1.412457995,-1.2807272275,TRUE,TRUE,FALSE
"Painted Bunting","PABU","anthro",-0.0143573119521426,-0.50069599825,-0.4246194315,0.390458454,0.46657019875,FALSE,FALSE,FALSE
"Painted Redstart","PARE","anthro",-0.0396495042329934,-1.9185367175,-1.616864105,1.552805535,1.8189234275,FALSE,FALSE,FALSE
"Palm Warbler","PAWA","anthro",0.168187892786866,-1.580964295,-1.2835922,1.623686295,1.8962941725,FALSE,FALSE,FALSE
